device,cycle_id,cycle_start,cycle_end,previous_maintenance_type,n_observed_days,span_days,slope_per_day,decline_rate_per_day,slope_ci_low,slope_ci_high,intercept
A1,0,2024-04-03,2024-05-17,观测起点,29,44.0,-0.3895308834310932,0.3895308834310932,-0.4328669693179581,-0.3444681930760737,99.49598907131156
A1,1,2024-05-19,2024-07-18,中维护,57,60.0,-0.3442237366209726,0.3442237366209726,-0.3611918249562167,-0.3202265171665944,104.67137469902727
A1,2,2024-07-20,2024-09-29,中维护,71,71.0,-0.21660978198826245,0.21660978198826245,-0.22658551916033312,-0.2066131849620358,98.30184105717859
A1,3,2024-10-02,2024-12-01,中维护,60,60.0,-0.07353395018672304,0.07353395018672304,-0.08041971550621722,-0.06727275714078136,87.26988698139088
A1,4,2024-12-03,2025-01-20,大维护,47,48.0,-0.3763441763595378,0.3763441763595378,-0.38574674474138926,-0.36582636489115883,102.16929787962869
A1,5,2025-01-22,2025-03-13,中维护,41,50.0,-0.3979902481032762,0.3979902481032762,-0.41763815909366253,-0.3827966495995418,110.41837051781641
A1,6,2025-03-15,2025-05-09,中维护,51,55.0,-0.4177263886733027,0.4177263886733027,-0.42590570741097766,-0.40874777570370935,123.15702251522768
A1,7,2025-05-11,2025-06-28,中维护,48,48.0,-0.4062909995377162,0.4062909995377162,-0.4391450379054265,-0.3718185542032614,106.83669757673567
A1,8,2025-06-30,2025-09-14,中维护,77,76.0,-0.2644652269269341,0.2644652269269341,-0.2800346182653573,-0.2485567105810806,96.26458864890097
A1,9,2025-09-16,2025-11-13,中维护,59,58.0,-0.24677433832005924,0.24677433832005924,-0.26343310736447983,-0.2352859055691533,94.0030259564852
A1,10,2025-11-15,2026-01-18,大维护,63,64.0,-0.414510005691961,0.414510005691961,-0.441460494808387,-0.39344044152723123,84.78991142738808
A1,11,2026-01-20,2026-03-06,中维护,43,45.0,-0.618571070683612,0.618571070683612,-0.6303542229967429,-0.6079942728704973,110.70143422018268
A1,12,2026-03-08,2026-04-10,中维护,34,33.0,-0.45880200767490203,0.45880200767490203,-0.4830748083326919,-0.43597598906921414,115.10249820216738
A10,0,2024-04-05,2024-05-24,观测起点,34,49.0,-0.33717522389060406,0.33717522389060406,-0.3662600815254488,-0.31671667713228757,134.10417637868088
A10,1,2024-05-26,2024-07-24,中维护,59,59.0,-0.3110475889721534,0.3110475889721534,-0.32035699518437977,-0.30136109110621123,140.67386866379692
A10,2,2024-07-26,2024-09-30,大维护,64,66.0,-0.27325203051139746,0.27325203051139746,-0.29783814711610435,-0.25459985602275736,132.8868405415914
A10,3,2024-10-02,2024-11-19,中维护,48,48.0,-0.3314513331453072,0.3314513331453072,-0.3434488604095934,-0.3207599738676563,116.59768116982886
A10,4,2024-11-21,2025-01-17,中维护,58,57.0,-0.4509928207384021,0.4509928207384021,-0.46468580533911563,-0.4393461415225353,109.18645759559449
A10,5,2025-01-19,2025-02-23,中维护,33,35.0,-0.673569441472393,0.673569441472393,-0.7033549155101976,-0.6370107220079839,112.97438818997435
A10,6,2025-02-25,2025-04-10,中维护,43,44.0,-0.41681041855135537,0.41681041855135537,-0.42897380647241334,-0.4079268225368116,105.4103786431111
A10,7,2025-04-12,2025-06-04,大维护,54,53.0,-0.41648970215583364,0.41648970215583364,-0.4227731057157925,-0.40987934735339215,102.50627629130047
A10,8,2025-06-06,2025-08-18,中维护,74,73.0,-0.2775756065553789,0.2775756065553789,-0.28657999011823115,-0.2686580975525878,97.0495083779451
A10,9,2025-08-20,2025-10-31,中维护,72,72.0,-0.3699900734195781,0.3699900734195781,-0.38549591243213366,-0.35210455016705455,84.10034968381461
A10,10,2025-11-02,2025-12-31,中维护,58,59.0,-0.4985264962153799,0.4985264962153799,-0.5133079227533482,-0.4820528259246445,78.77809090147754
A10,11,2026-01-02,2026-02-12,大维护,41,41.0,-0.5702703414681756,0.5702703414681756,-0.5779787420010714,-0.5623859992162279,63.47768393633254
A10,12,2026-02-14,2026-03-25,中维护,40,39.0,-0.5380133921299765,0.5380133921299765,-0.5885791652242918,-0.5035617706946615,57.05090851272577
A10,13,2026-03-27,2026-04-11,中维护,16,15.0,-0.3246952894075915,0.3246952894075915,-0.3645771634016519,-0.2839197957161147,61.51823809573898
