device,start_time,end_time,rows,valid_values,missing_values,missing_rate,duplicate_timestamps,expected_calendar_hours,calendar_hour_coverage,calendar_days,usable_days,calendar_day_coverage,outliers_flagged,minimum,maximum
A1,2024-04-03 01:00:05,2026-04-10 22:00:00,10839,10382,457,0.04216256112187471,0,17709,0.5862555762606584,738,680,0.9214092140921409,106,38.6385107329374,140.370353586497
A2,2024-04-03 02:00:05,2026-04-10 18:00:00,11125,10719,406,0.03649438202247191,0,17704,0.6054563940352463,738,692,0.9376693766937669,109,28.0564208372709,121.718689733117
A3,2024-04-03 01:00:05,2026-04-10 18:00:00,11921,11512,409,0.034309202248133545,0,17705,0.6502118045749788,738,693,0.9390243902439024,128,51.501996929975,154.568830938815
A4,2024-04-03 01:00:05,2026-04-10 18:00:00,11675,11230,445,0.038115631691648826,0,17705,0.6342841005365716,738,676,0.9159891598915989,108,31.5564611640717,143.747564348607
A5,2024-04-03 01:00:05,2026-04-10 18:00:00,12162,11704,458,0.037658279888176285,0,17705,0.6610561988138944,738,698,0.94579945799458,154,34.5337866077768,149.81116766406
A6,2024-04-03 01:00:05,2026-04-10 18:00:00,11806,11344,462,0.03913264441809249,0,17705,0.6407229596159277,738,687,0.9308943089430894,124,28.646090817474,155.921773856801
A7,2024-04-04 21:00:05,2026-04-10 18:00:00,11976,11520,456,0.03807615230460922,0,17661,0.6522846950908782,737,689,0.9348710990502035,142,39.40537368734,158.571024616352
A8,2024-04-04 21:00:05,2026-04-10 18:00:00,11507,11089,418,0.03632571478230642,0,17661,0.627880640960308,737,691,0.937584803256445,115,37.6306352761806,165.146955934656
A9,2024-04-04 21:00:05,2026-04-10 18:00:00,11223,10768,455,0.04054174463156019,0,17661,0.6097049997168903,737,682,0.9253731343283582,115,44.1879616843416,139.389191501083
A10,2024-04-04 21:00:05,2026-04-11 18:00:00,10743,10364,379,0.035278786186353904,0,17685,0.5860333616058807,738,694,0.940379403794038,128,26.4309793605295,180.0
