device,calendar_hour_coverage,missing_rate,outliers_flagged,decline_rate_median,decline_rate_mean,decline_rate_q25,decline_rate_q75,valid_cycles,seasonal_amplitude,annual_amplitude,semiannual_amplitude,medium_events,medium_gain_3d_median,medium_effect_day30_median,medium_retention_day30_median,major_events,major_gain_3d_median,major_effect_day30_median,major_retention_day30_median,envelope_decline_per_year,residual_volatility,recent_30_observation_median,medium_duration_observed_median,medium_duration_censored_share,medium_decline_rate_change_median,major_duration_observed_median,major_duration_censored_share,major_decline_rate_change_median
A1,0.5862555762606584,0.04216256112187471,106,0.3895308834310932,0.3557979087844887,0.2644652269269341,0.414510005691961,13,18.528604209447565,14.498408137951817,7.4723061120927685,9,23.665225194498106,25.951026833015113,1.0696142416443404,2,12.070952498129108,4.9254188559419045,0.025489129036810165,-2.964121326137767,9.788116593718021,98.17766277520337,56.0,1.0,-0.1416795641314722,31.0,0.5,0.3343903130095458
A2,0.6054563940352463,0.03649438202247191,109,0.3616236142259104,0.3702073107011664,0.28490983257830094,0.45997332109013106,13,16.572671406701986,16.45043845350494,2.4212661533796824,9,18.20321217636489,18.991572316404877,1.0259044195559062,3,19.14304363692554,19.463132614901646,0.8922983207625436,14.403475647930009,6.796006890133381,47.0300640586585,53.0,1.0,-0.06768687581097094,49.0,1.0,0.08920701882976245
A3,0.6502118045749788,0.034309202248133545,128,0.3392867767971187,0.39279152134007256,0.3140074608448027,0.3882470110941975,13,17.294948162608247,17.090364076732534,1.394730428781239,11,22.915375904373807,20.667108199359582,1.0674163959616236,2,15.504879809925026,15.330739979485518,1.0616021556193127,8.708904077010018,6.844348412988319,72.20872512378821,47.0,1.0,-0.1177440205809187,68.5,1.0,0.024427402614233457
A4,0.6342841005365716,0.038115631691648826,108,0.331512170316678,0.34850248113306737,0.29238901224868563,0.39938064246786686,14,18.89280428594987,12.945846898253055,9.415569915914642,13,24.818718247849457,27.802522228493785,1.0859057852314984,0,,,,-17.95474211562271,11.827469878565072,111.82004598611024,54.0,1.0,-0.08424196603580356,,,
A5,0.6610561988138944,0.037658279888176285,154,0.3728350257794167,0.38430125134830767,0.33346530205747116,0.4082201670446243,13,10.917807786775509,8.595901086368974,4.355123155158625,11,18.553779955331773,18.84959175500174,0.8727523885332451,1,6.177614686726126,7.22697131092249,1.1698643695682611,24.957791270327057,11.218161041018446,52.1930073759016,48.0,0.9090909090909091,0.06496566089350107,63.0,1.0,-0.09579049016275892
A6,0.6407229596159277,0.03913264441809249,124,0.3875333480659694,0.40258089027136584,0.34326218998357116,0.43985654828064435,13,20.007929593036046,19.732982292138733,3.55989778963822,10,26.764043057749035,28.1673031926408,1.063590969693401,2,25.082466191839593,26.603047612456,1.0571948897644012,-27.197545803543477,7.991952037751605,82.22417113597635,57.0,1.0,-0.09370062750643504,52.0,1.0,-0.08325517501005736
A7,0.6522846950908782,0.03807615230460922,142,0.32823358843767825,0.3619643844187344,0.27952407478662333,0.42241968188685663,14,15.924463446211677,14.31300107259351,5.022599461405784,10,18.187772429243292,19.678470714248103,0.9629328362843518,2,24.97126665529887,26.215912230194135,1.065615429274299,11.734587629475023,9.847381372207362,63.66040553997662,54.0,0.8,-0.016267787922219834,52.0,1.0,-0.03126776289916522
A8,0.627880640960308,0.03632571478230642,115,0.3794129200797931,0.38076276097194983,0.2552819277366148,0.49491528179695743,13,16.070470340756422,15.201388882031779,2.9276070022613325,13,16.227940479260234,15.459970045016926,0.88107475742663,0,,,,27.688257959371487,6.3585914638238865,49.106478593970905,46.0,0.6923076923076923,0.05978883748155717,,,
A9,0.6097049997168903,0.04054174463156019,115,0.33089441993201707,0.3566660175231308,0.2241616622584477,0.41167812999535713,13,16.18025982230058,15.54221380215273,2.8290216434836837,11,19.2475167325403,21.167167191465836,1.069122399268171,2,17.86919493327411,16.976207287780444,1.0058994333814821,4.63787347068502,6.159963754600238,71.87374841193083,58.0,0.9,-0.033221369890585106,31.5,1.0,-0.0018045941227312068
A10,0.5860333616058807,0.035278786186353904,128,0.3932398877877059,0.4135614113309662,0.32638430034202043,0.48664307734613543,14,22.502455219695143,22.009520833864162,3.0290665317358956,10,20.418407429901208,19.725660816930322,0.8656623831577926,3,14.118331402933526,11.857746535903107,0.9783401177920226,42.42965010806067,6.677354075993973,50.116700615197125,47.0,0.8,0.03895274445166025,54.0,1.0,0.030124240821149395
