event_id,device,event_date,maintenance_type,counterfactual_gain_3d,effective_duration_days,duration_censored,duration_status,duration_threshold,duration_followup_days,effective_duration_days_10pct,duration_censored_10pct,effective_duration_days_30pct,duration_censored_30pct
1,A1,2024-07-19,中维护,12.90805674977374,72.0,True,right_censored,2.5816113499547484,72,72.0,True,72.0,True
2,A1,2024-10-01,中维护,7.095746599027971,61.0,True,right_censored,1.4191493198055944,61,61.0,True,61.0,True
3,A1,2024-12-02,大维护,19.49767661317065,49.0,True,right_censored,3.8995353226341303,49,49.0,True,49.0,True
4,A1,2025-01-21,中维护,26.191881366128232,51.0,True,right_censored,5.238376273225647,51,51.0,True,51.0,True
5,A1,2025-03-14,中维护,32.34010939974319,56.0,True,right_censored,6.468021879948639,56,56.0,True,56.0,True
6,A1,2025-05-10,中维护,9.092872583562567,49.0,True,right_censored,1.8185745167125136,49,49.0,True,49.0,True
7,A1,2025-06-29,中维护,8.167787876230781,77.0,True,right_censored,1.6335575752461562,77,77.0,True,77.0,True
8,A1,2025-09-15,中维护,23.665225194498106,59.0,True,right_censored,4.733045038899621,59,59.0,True,59.0,True
9,A1,2025-11-14,大维护,4.644228383087565,13.0,False,threshold_crossed,0.928845676617513,65,14.0,False,12.0,False
10,A1,2026-01-19,中维护,57.01790081962044,46.0,True,right_censored,11.40358016392409,46,46.0,True,46.0,True
11,A1,2026-03-07,中维护,34.56358032597917,34.0,True,right_censored,6.912716065195834,34,34.0,True,34.0,True
12,A10,2024-05-25,中维护,23.036669128527866,60.0,True,right_censored,4.607333825705573,60,60.0,True,60.0,True
13,A10,2024-07-25,大维护,8.763296137290359,67.0,True,right_censored,1.752659227458072,67,67.0,True,67.0,True
14,A10,2024-10-01,中维护,5.369066781237994,49.0,True,right_censored,1.0738133562475989,49,49.0,True,49.0,True
15,A10,2024-11-20,中维护,7.01383933626973,49.0,False,threshold_crossed,1.402767867253946,58,51.0,False,44.0,False
16,A10,2025-01-18,中维护,28.78235730951602,36.0,True,right_censored,5.756471461903204,36,36.0,True,36.0,True
17,A10,2025-02-24,中维护,21.288129392825713,45.0,True,right_censored,4.257625878565142,45,45.0,True,45.0,True
18,A10,2025-04-11,大维护,15.599015489869714,54.0,True,right_censored,3.119803097973943,54,54.0,True,54.0,True
19,A10,2025-06-05,中维护,19.548685466976707,74.0,True,right_censored,3.9097370933953415,74,74.0,True,74.0,True
20,A10,2025-08-19,中维护,5.71643362409679,33.0,False,threshold_crossed,1.143286724819358,73,34.0,False,33.0,False
21,A10,2025-11-01,中维护,15.841168256362975,60.0,True,right_censored,3.1682336512725953,60,60.0,True,56.0,False
22,A10,2026-01-01,大维护,14.118331402933526,42.0,True,right_censored,2.823666280586705,42,42.0,True,42.0,True
23,A10,2026-02-13,中维护,22.79271990048396,40.0,True,right_censored,4.558543980096792,40,40.0,True,40.0,True
24,A10,2026-03-26,中维护,25.90824289315754,16.0,True,right_censored,5.181648578631508,16,16.0,True,16.0,True
