maintenance_type,metric,n_events,mean,median,std,ci95_low,ci95_high,positive_share
中维护,naive_gain_3d,104,18.532505263056457,18.090664392145577,10.184742496943777,16.55311608483863,20.452740612016246,1.0
中维护,counterfactual_gain_3d,104,20.17310359983966,19.621661696834437,10.378853347039655,18.33907212249017,22.252418110257278,1.0
中维护,effect_day7,107,20.13152806959178,19.898599259774784,10.538447433945564,18.182552015212377,22.12284881692956,1.0
中维护,effect_day14,104,20.28909381986299,19.996752197025387,10.854265987964771,18.24820655009693,22.372300274954124,0.9903846153846154
中维护,effect_day30,101,20.5193396125148,20.757917253525846,12.01301174888125,18.32447166339847,22.773417716966126,0.9900990099009901
中维护,retention_day30,98,0.9763497048608708,1.0193867568281034,0.3956117796928692,0.8966680089733298,1.0494534018078334,0.9897959183673469
大维护,naive_gain_3d,17,15.791366894784929,16.935641095810702,6.593876191156553,12.84753698399437,18.693346061539494,1.0
大维护,counterfactual_gain_3d,17,17.30154963368766,18.86174521956559,6.833311341108532,13.937519746140877,20.501845438713765,1.0
大维护,effect_day7,17,16.94862403570574,18.21963359881294,6.99776804449177,13.599035033391182,20.058842957080497,1.0
大维护,effect_day14,16,16.51503255337649,16.995105063187353,7.629364997316575,12.811905895942305,20.001786936247527,1.0
大维护,effect_day30,16,16.457500481749364,16.11867496978958,8.164301559385907,12.648009664213815,20.34963854783542,0.9375
大维护,retention_day30,16,0.9075790798791181,0.980949550969857,0.4402277352490921,0.6652244678706022,1.0733815197982832,0.9375
