maintenance_type,time,at_risk,events,censored,survival
中维护,0.0,104,0,0,1.0
中维护,5.0,104,0,1,1.0
中维护,7.0,103,0,1,1.0
中维护,10.0,102,0,1,1.0
中维护,11.0,101,1,0,0.9900990099009901
中维护,16.0,100,0,3,0.9900990099009901
中维护,25.0,97,1,0,0.979891803613351
中维护,26.0,96,3,0,0.9492701847504338
中维护,27.0,93,1,0,0.9390629784627947
中维护,29.0,92,1,2,0.9288557721751556
中维护,32.0,89,0,1,0.9288557721751556
中维护,33.0,88,1,0,0.9183005929458925
中维护,34.0,87,0,4,0.9183005929458925
中维护,35.0,83,0,1,0.9183005929458925
中维护,36.0,82,0,2,0.9183005929458925
中维护,37.0,80,0,1,0.9183005929458925
中维护,39.0,79,0,1,0.9183005929458925
中维护,40.0,78,0,1,0.9183005929458925
中维护,41.0,77,1,1,0.9063746112193225
中维护,42.0,75,0,2,0.9063746112193225
中维护,44.0,73,0,1,0.9063746112193225
中维护,45.0,72,0,2,0.9063746112193225
中维护,46.0,70,0,3,0.9063746112193225
中维护,47.0,67,0,1,0.9063746112193225
中维护,48.0,66,0,4,0.9063746112193225
中维护,49.0,62,1,6,0.8917556658770753
中维护,50.0,55,0,2,0.8917556658770753
中维护,51.0,53,0,1,0.8917556658770753
中维护,53.0,52,0,4,0.8917556658770753
中维护,54.0,48,0,2,0.8917556658770753
中维护,56.0,46,0,3,0.8917556658770753
中维护,57.0,43,0,1,0.8917556658770753
中维护,58.0,42,0,4,0.8917556658770753
中维护,59.0,38,0,4,0.8917556658770753
中维护,60.0,34,0,3,0.8917556658770753
中维护,61.0,31,0,3,0.8917556658770753
中维护,62.0,28,0,3,0.8917556658770753
中维护,63.0,25,0,3,0.8917556658770753
中维护,64.0,22,0,5,0.8917556658770753
中维护,65.0,17,0,1,0.8917556658770753
中维护,66.0,16,0,1,0.8917556658770753
中维护,68.0,15,0,1,0.8917556658770753
中维护,69.0,14,0,1,0.8917556658770753
中维护,70.0,13,0,1,0.8917556658770753
中维护,72.0,12,0,2,0.8917556658770753
中维护,73.0,10,0,2,0.8917556658770753
中维护,74.0,8,0,1,0.8917556658770753
中维护,76.0,7,0,2,0.8917556658770753
中维护,77.0,5,0,1,0.8917556658770753
中维护,78.0,4,0,1,0.8917556658770753
中维护,79.0,3,0,1,0.8917556658770753
中维护,81.0,2,0,2,0.8917556658770753
大维护,0.0,17,0,0,1.0
大维护,9.0,17,0,1,1.0
大维护,13.0,16,1,0,0.9375
大维护,41.0,15,0,1,0.9375
大维护,42.0,14,0,1,0.9375
大维护,44.0,13,0,1,0.9375
大维护,49.0,12,0,2,0.9375
大维护,50.0,10,0,1,0.9375
大维护,54.0,9,0,3,0.9375
大维护,60.0,6,0,1,0.9375
大维护,63.0,5,0,2,0.9375
大维护,64.0,3,0,1,0.9375
大维护,67.0,2,0,1,0.9375
大维护,74.0,1,0,1,0.9375
