maintenance_type,relative_day,n_events,mean_effect,median_effect,ci95_low,ci95_high
中维护,-14,106,0.04134652342692103,0.009395253957897864,-0.07608244353870637,0.14940429980621003
中维护,-13,103,-0.04627345856856938,-0.05734392705781488,-0.14484363127572214,0.056435924366917266
中维护,-12,104,0.01362007977080432,0.009457453499905455,-0.0741037420360397,0.0994974751720749
中维护,-11,103,0.09958748917759332,0.0,-0.008666762183587385,0.2046446954585969
中维护,-10,105,-0.103085413340358,-0.025639177059602503,-0.22596378266205544,0.014600161470505718
中维护,-9,104,-0.042428395162374476,-0.08811890120173871,-0.15922992885128606,0.06442272509943585
中维护,-8,104,-0.04187800189256649,0.0,-0.15912179105705215,0.06485626716544537
中维护,-7,102,-0.04333986975628058,0.004104666580133198,-0.1836367717921785,0.07611084900667804
中维护,-6,103,0.04891189038740344,0.06872598809714248,-0.0852274335603154,0.1773981464771738
中维护,-5,103,0.06784531445024859,0.040855190417353526,-0.06248141628446894,0.19352564718827256
中维护,-4,106,0.033982710264310184,0.11721273052664216,-0.10473908814568503,0.170730029492998
中维护,-3,104,0.08428109295942637,0.02972484132542519,-0.05093631061047354,0.21043273009551222
中维护,-2,103,0.052180141300530884,0.0037651847208621803,-0.11699952751953928,0.2283434968325012
中维护,-1,106,0.08561195870381708,0.08769771751077826,-0.07585161326276679,0.23366866508386977
中维护,1,101,20.15093007297122,19.582431593829384,18.167884728863285,22.26745836724253
中维护,2,102,20.270609483911166,19.601825540673786,18.261058557604173,22.112994797451837
中维护,3,101,20.174898655104993,19.899947232355387,18.17814813148762,22.245425617197522
中维护,4,104,20.387010070042702,20.4089439792415,18.41034702334337,22.424656482385537
中维护,5,106,19.81979916904052,19.796896616026615,17.989039426215893,21.796767326460387
中维护,6,106,20.254793004126075,20.033881458809923,18.207930988682676,22.218549636245562
中维护,7,105,20.06228145358848,19.937125147629665,18.066556931349492,22.055171807715773
中维护,8,103,19.978844072789286,20.194242706748057,17.869830416271085,21.975639504830983
中维护,9,105,20.072494860281815,19.962718805258334,18.15376594068672,22.05402590832059
中维护,10,103,19.86255726795573,19.94810032397349,17.688310422017093,21.89704987306802
中维护,11,96,19.78811972277002,20.19531904370824,17.813858197631536,21.496224586783384
中维护,12,100,20.165539335566926,19.944054850070074,18.1262358130838,22.292384630721212
中维护,13,99,20.1491330564416,19.845220964167957,18.017661382641894,22.242563369406337
中维护,14,96,20.0244764396835,20.135485973296355,17.886882951892826,22.267470610442164
中维护,15,94,19.645538285978585,19.460696924313844,17.461521562983485,22.048928238217805
中维护,16,96,19.993445172459317,19.82078426892268,17.761151992213364,22.274111845565024
中维护,17,97,20.35976473232072,20.3910596447257,18.08159591383595,22.63529562690245
中维护,18,99,20.489406123173385,21.140501127454385,18.247999108635927,22.834686031096016
中维护,19,99,20.611291832136025,21.39888666365286,18.383504658665856,22.99783441600985
中维护,20,97,20.160889576252313,21.23745929955092,18.062282330257013,22.325589849887674
中维护,21,101,20.476509050695434,20.803640866544256,18.18849931623811,22.79947104749698
中维护,22,101,20.389040456647646,20.848472164712902,18.094370756446512,22.492428739981136
中维护,23,100,20.661630481606945,21.12542379815823,18.455287121721852,23.000404185668586
中维护,24,98,20.635030390688513,20.804157507202877,18.418550961694244,22.95698195577143
中维护,25,99,20.523007265890232,21.05940245222324,18.20366014109286,22.761095013974312
中维护,26,98,20.296442488448577,20.789940044580227,17.904614974199074,22.761756566999733
中维护,27,101,20.37712088771169,21.147130781191066,18.055282812510406,22.743284468514304
中维护,28,98,20.70256413922894,21.249218968436296,18.382608140015467,23.239307274566727
中维护,29,98,20.472467736856146,20.486376157585937,18.127648317769534,22.725193419471662
中维护,30,95,20.441831053762886,20.335257905081264,18.084340400909056,22.713154628008756
大维护,-14,17,0.043605922933362753,0.09487103221076154,-0.29503603886020924,0.3137012926955538
大维护,-13,17,0.34334916100956875,0.42540759592183264,0.09630063864558193,0.5932574057751911
大维护,-12,17,-0.03736281579476121,-0.001416928159244435,-0.22822843435272172,0.1799338224892769
大维护,-11,16,-0.031799659325097096,-0.006755248299686656,-0.1310175403858061,0.057807981064823474
大维护,-10,17,0.06032025673679442,0.1219177789524366,-0.11074707078161025,0.2524048201034064
大维护,-9,16,0.0622744178056065,0.01860791634547354,-0.14264749104830093,0.2471843580550534
大维护,-8,16,0.16884980923643722,-0.010864579735198276,-0.12497637927174822,0.45517821024492766
大维护,-7,17,-0.017413289082030554,-0.004759095416517312,-0.28665519260715655,0.24556329631129675
大维护,-6,15,0.054935681599743685,0.006173155689978671,-0.2008959804533741,0.2961653390939229
大维护,-5,13,0.06457524482852178,0.1297819924435757,-0.23373611694941832,0.3320194807831524
大维护,-4,16,-0.04262494682772955,0.07492316562768764,-0.35522682226207447,0.287777315605848
大维护,-3,16,0.14627722224856576,0.17501334911933952,-0.24426668769229284,0.5666351278337333
大维护,-2,17,0.1953466305196163,0.2292036112877298,-0.168000681789992,0.5372517125648207
大维护,-1,16,-0.19461559614241564,-0.3638393029245073,-0.49392433727805174,0.13323521702029445
大维护,1,16,16.8545254918205,18.453545271674766,13.380715142236449,20.12057195327726
大维护,2,17,17.310724451067596,18.65567655273655,14.31137696297003,20.254530876909726
大维护,3,16,17.196920987270005,18.135466714877126,14.040632392417146,20.586640763531747
大维护,4,16,16.468093302101217,17.738243417937632,13.42986625403323,19.10545949313354
