event_id,device,event_date,maintenance_type,window_days,pre_decline_rate,post_decline_rate,decline_rate_change,pre_observed_days,post_observed_days,pre_span_days,post_span_days
0,A1,2024-05-18,中维护,21,,0.30379553500715917,,7,19,0.0,20.0
1,A1,2024-07-19,中维护,21,0.313609359460092,0.1713228793159267,-0.14228648014416528,19,20,20.0,20.0
2,A1,2024-10-01,中维护,21,0.2618325695488203,0.08135682106498354,-0.18047574848383674,20,21,19.0,20.0
3,A1,2024-12-02,大维护,21,0.09722517960597771,0.42914986503223834,0.33192468542626063,20,20,20.0,19.0
4,A1,2025-01-21,中维护,21,0.3945895848867099,0.3884716490013735,-0.006117935885336434,21,18,20.0,20.0
5,A1,2025-03-14,中维护,21,0.2745544791970417,0.47861401015983807,0.2040595309627964,14,20,19.0,20.0
6,A1,2025-05-10,中维护,21,0.4086126555660285,0.5641468306014954,0.1555341750354669,17,21,20.0,20.0
7,A1,2025-06-29,中维护,21,0.28413813656985937,0.2953084885137581,0.01117035194389876,20,21,20.0,20.0
8,A1,2025-09-15,中维护,21,0.5863408969833326,0.31667018862274904,-0.26967070836058354,21,21,20.0,20.0
9,A1,2025-11-14,大维护,21,0.15566621211221449,0.4925221527050454,0.3368559405928309,21,21,20.0,20.0
10,A1,2026-01-19,中维护,21,0.745807160422364,0.6041275962908917,-0.1416795641314722,20,19,20.0,20.0
11,A1,2026-03-07,中维护,21,0.6631105737925116,0.4239750864796016,-0.23913548731291,20,21,20.0,20.0
12,A10,2024-05-25,中维护,21,,0.289644519847975,,11,20,10.0,20.0
13,A10,2024-07-25,大维护,21,0.2769356792360669,0.2598074563823989,-0.017128222853667996,21,19,20.0,20.0
14,A10,2024-10-01,中维护,21,0.34033673852379753,0.3390338347618763,-0.0013029037619212147,21,21,20.0,20.0
15,A10,2024-11-20,中维护,21,0.287969986986635,0.38381881657405204,0.09584882958741703,20,21,20.0,20.0
16,A10,2025-01-18,中维护,21,0.5261947966169311,0.5589706772657681,0.032775880648836964,21,18,20.0,20.0
17,A10,2025-02-24,中维护,21,0.8275308816668552,0.40528494270221943,-0.42224593896463575,21,21,20.0,20.0
18,A10,2025-04-11,大维护,21,0.38249036918742974,0.41261461000857913,0.030124240821149395,19,21,20.0,20.0
19,A10,2025-06-05,中维护,21,0.4502260286023149,0.29763964038746593,-0.152586388214849,21,21,20.0,20.0
20,A10,2025-08-19,中维护,21,0.17693586454357774,0.25652530618186486,0.07958944163828713,21,21,20.0,20.0
21,A10,2025-11-01,中维护,21,0.22621158015575712,0.4443866949940608,0.21817511483830368,21,21,20.0,20.0
22,A10,2026-01-01,大维护,21,0.4943461468982327,0.5593157120000469,0.06496956510181423,19,21,20.0,20.0
23,A10,2026-02-13,中维护,21,0.5671635644370389,0.6122931726915224,0.04512960825448353,20,21,20.0,20.0
24,A10,2026-03-26,中维护,21,0.49947243474031305,,,21,13,20.0,12.0
25,A2,2024-06-04,中维护,21,0.3861606463220812,0.31447208052025816,-0.07168856580182303,19,21,20.0,20.0
26,A2,2024-08-16,中维护,21,0.10615572473273222,0.15528593744808955,0.049130212715357335,21,21,20.0,20.0
27,A2,2024-11-03,中维护,21,0.08397308415674992,0.25225997958086394,0.168286895424114,21,21,20.0,20.0
28,A2,2025-01-01,中维护,21,0.2842870107472569,0.44515048041155203,0.16086346966429516,19,21,20.0,20.0
29,A2,2025-02-20,中维护,21,0.5788531576953166,0.4294207797066843,-0.14943237798863235,16,21,20.0,20.0
30,A2,2025-04-07,中维护,21,0.3395619414450522,0.3190013442851142,-0.02056059715993802,20,20,20.0,20.0
31,A2,2025-05-28,中维护,21,0.5154022690926505,0.39711699887928475,-0.11828527021336577,21,21,20.0,20.0
32,A2,2025-07-21,中维护,21,0.3818843943724256,0.17595192214720096,-0.20593247222522465,21,21,20.0,20.0
33,A2,2025-10-06,大维护,21,0.31266191000497023,0.14275265942565576,-0.16990925057931447,19,21,20.0,20.0
34,A2,2025-12-10,大维护,21,0.2865872582348653,0.4051911301266887,0.11860387189182342,21,20,20.0,20.0
35,A2,2026-01-29,大维护,21,0.6451151093547571,0.7343221281845196,0.08920701882976245,20,19,20.0,20.0
36,A2,2026-03-12,中维护,21,0.5437053607657124,0.47601848495474147,-0.06768687581097094,21,21,20.0,20.0
37,A3,2024-05-29,中维护,21,0.47101041972765556,0.33014785177819844,-0.14086256794945712,15,20,14.0,19.0
38,A3,2024-07-18,中维护,21,0.3637560640712593,0.25455980531083,-0.10919625876042932,21,21,20.0,20.0
39,A3,2024-09-30,中维护,21,0.3697852325161394,0.24349345011473128,-0.1262917824014081,21,20,20.0,19.0
40,A3,2024-11-30,中维护,21,0.2948328557404404,0.36347717131708024,0.06864431557663986,21,21,20.0,20.0
41,A3,2025-01-17,中维护,21,0.39317141626035934,0.556846459294615,0.16367504303425562,20,18,20.0,20.0
42,A3,2025-03-05,中维护,21,0.5464931884870949,0.33101929835764643,-0.2154738901294485,21,20,20.0,20.0
43,A3,2025-05-06,中维护,21,0.3683298240286036,0.3760730579455649,0.007743233916961301,21,21,20.0,20.0
44,A3,2025-07-02,大维护,21,0.31613494293836375,0.21454896947094365,-0.1015859734674201,21,21,20.0,20.0
45,A3,2025-09-15,中维护,21,0.4228169300684032,0.256378490735222,-0.1664384393331812,21,21,20.0,20.0
46,A3,2025-11-17,大维护,21,0.3429993447647911,0.4934401234606781,0.150440778695887,21,21,20.0,20.0
47,A3,2026-01-20,中维护,21,0.5244202905330957,0.9143729958973483,0.38995270536425264,21,21,20.0,20.0
48,A3,2026-02-24,中维护,21,0.7843679564222066,0.28144870591767523,-0.5029192505045313,21,21,20.0,20.0
49,A3,2026-04-05,中维护,21,0.3790093809820473,,,21,2,20.0,0.0
50,A4,2024-05-28,中维护,21,,0.33376862380929806,,14,20,13.0,20.0
51,A4,2024-07-16,中维护,21,0.33083439407116655,0.263250959861432,-0.06758343420973456,16,21,20.0,20.0
52,A4,2024-09-21,中维护,21,0.6677301945404694,0.225901625506431,-0.44182856903403844,21,19,20.0,20.0
53,A4,2024-11-20,中维护,21,0.39358942066084457,0.14023042198884794,-0.2533589986719966,21,17,20.0,20.0
54,A4,2025-01-18,中维护,21,0.541117343479204,0.35661288675439906,-0.18450445672480498,21,17,20.0,20.0
55,A4,2025-02-20,中维护,21,0.5700565400008877,0.37826480102524773,-0.19179173897563995,17,20,20.0,20.0
56,A4,2025-04-10,中维护,21,0.3622759603860605,0.23316171071009148,-0.12911424967596905,21,14,20.0,20.0
57,A4,2025-06-04,中维护,21,0.33202862014200996,0.31203281985273423,-0.019995800289275723,21,21,20.0,20.0
58,A4,2025-08-06,中维护,21,0.22132250304703088,0.15139188243809515,-0.06993062060893573,21,21,20.0,20.0
59,A4,2025-10-10,中维护,21,0.23576934911648806,0.16640958341171858,-0.06935976570476948,18,21,20.0,20.0
60,A4,2025-12-09,中维护,21,0.13372950120376678,0.442854135920833,0.3091246347170662,21,21,20.0,20.0
61,A4,2026-01-21,中维护,21,0.4720638371259998,0.5986766012940841,0.12661276416808426,20,20,20.0,20.0
62,A4,2026-03-12,中维护,21,0.44692268756796144,0.34836937610529006,-0.09855331146267138,21,19,20.0,20.0
63,A5,2024-05-19,中维护,21,,0.25453082579516395,,7,20,0.0,20.0
64,A5,2024-07-18,中维护,21,0.39608298614514664,0.2650631216651581,-0.13101986447998853,21,21,20.0,20.0
65,A5,2024-09-21,大维护,21,0.30362049664172364,0.2078300064789647,-0.09579049016275892,21,20,20.0,20.0
66,A5,2024-11-24,中维护,21,0.01584368425759332,0.14396427810043338,0.12812059384284008,20,21,20.0,20.0
67,A5,2025-01-21,中维护,21,0.49894180984083225,0.48337756389016284,-0.015564245950669409,21,17,20.0,19.0
68,A5,2025-02-25,中维护,21,0.7332606734420994,0.37630087516678756,-0.3569597982753119,20,21,20.0,20.0
69,A5,2025-04-15,中维护,21,0.40132672583654044,0.47707785276535597,0.07575112692881553,20,21,20.0,20.0
70,A5,2025-06-14,中维护,21,0.3932494873990714,0.45178807212013106,0.05853858472105966,21,21,20.0,20.0
71,A5,2025-08-19,中维护,21,0.12674039354843813,0.34264958618529995,0.2159091926368618,21,21,20.0,20.0
72,A5,2025-11-06,中维护,21,0.1981074203232092,0.2695001573891517,0.07139273706594249,21,21,20.0,20.0
73,A5,2026-01-08,中维护,21,0.4138216232804983,0.6236543373938506,0.20983271411335225,21,21,20.0,20.0
74,A5,2026-02-26,中维护,21,0.718167289122903,0.40050089809251466,-0.3176663910303883,21,21,20.0,20.0
75,A5,2026-04-03,中维护,21,0.423903108015249,,,21,4,20.0,0.0
76,A6,2024-06-06,中维护,21,0.48035962570675084,0.27991139533382103,-0.2004482303729298,20,21,20.0,20.0
77,A6,2024-08-27,中维护,21,0.21298440417354697,0.4627124967243077,0.24972809255076073,21,19,20.0,20.0
78,A6,2024-11-06,大维护,21,0.34990477685874166,0.34494195063075583,-0.004962826227985828,20,20,19.0,20.0
79,A6,2024-12-31,中维护,21,0.5479782530857475,0.46035551589128043,-0.08762273719446712,18,21,17.0,20.0
80,A6,2025-02-19,大维护,21,0.6424141099057508,0.4808665861136219,-0.1615475237921289,18,21,20.0,20.0
81,A6,2025-04-11,中维护,21,0.42553006095037205,0.331829433443937,-0.09370062750643504,21,16,20.0,20.0
82,A6,2025-06-04,中维护,21,0.4801595697819129,0.37007315826368115,-0.11008641151823173,21,21,20.0,20.0
83,A6,2025-08-23,中维护,21,0.24862985740921761,0.10901496516153372,-0.1396148922476839,21,21,20.0,20.0
84,A6,2025-11-02,中维护,21,0.28159877051353444,0.304449644858205,0.02285087434467059,20,21,20.0,20.0
85,A6,2026-01-03,中维护,21,0.3765440781636329,0.754385861088709,0.3778417829250761,21,21,20.0,20.0
86,A6,2026-02-15,中维护,21,0.6989904910065612,0.45967867543303687,-0.23931181557352432,21,21,20.0,20.0
87,A6,2026-03-25,中维护,21,0.39268733456595706,,,21,13,20.0,12.0
88,A7,2024-05-18,中维护,21,,0.40160945817450944,,7,20,0.0,20.0
