device,month,hour_coverage
A1,2024-04,0.73
A1,2024-05,0.7314814814814814
A1,2024-06,0.78125
A1,2024-07,0.2325268817204301
A1,2024-08,0.26075268817204306
A1,2024-09,0.7974137931034483
A1,2024-10,0.7768817204301076
A1,2024-11,0.7744252873563218
A1,2024-12,0.7611111111111111
A1,2025-01,0.7027777777777777
A1,2025-02,0.6137820512820513
A1,2025-03,0.5583333333333333
A1,2025-04,0.5977011494252873
A1,2025-05,0.5148809523809523
A1,2025-06,0.6472222222222223
A1,2025-07,0.7836021505376345
A1,2025-08,0.8266129032258065
A1,2025-09,0.7541666666666667
A1,2025-10,0.8145161290322581
A1,2025-11,0.625
A1,2025-12,0.7163978494623655
A1,2026-01,0.4932795698924731
A1,2026-02,0.1577380952380952
A1,2026-03,0.15591397849462366
A1,2026-04,0.1625
A10,2024-04,0.665
A10,2024-05,0.7615740740740741
A10,2024-06,0.8017241379310345
A10,2024-07,0.23924731182795697
A10,2024-08,0.2849462365591398
A10,2024-09,0.8194444444444444
A10,2024-10,0.8024193548387096
A10,2024-11,0.7486111111111111
A10,2024-12,0.7782258064516129
A10,2025-01,0.6527777777777778
A10,2025-02,0.5737179487179487
A10,2025-03,0.5201612903225806
A10,2025-04,0.49425287356321834
A10,2025-05,0.6491935483870968
A10,2025-06,0.6291666666666667
A10,2025-07,0.7110215053763441
A10,2025-08,0.6841397849462365
A10,2025-09,0.6527777777777778
A10,2025-10,0.7432795698924731
A10,2025-11,0.8055555555555556
A10,2025-12,0.7025862068965517
A10,2026-01,0.48655913978494625
A10,2026-02,0.15476190476190474
A10,2026-03,0.16129032258064516
A10,2026-04,0.16666666666666666
A2,2024-04,0.6450617283950618
A2,2024-05,0.7337962962962963
A2,2024-06,0.7470238095238095
A2,2024-07,0.2432795698924731
A2,2024-08,0.2674731182795699
A2,2024-09,0.8180555555555556
A2,2024-10,0.7152777777777778
A2,2024-11,0.8111111111111111
A2,2024-12,0.7859195402298851
A2,2025-01,0.7430555555555556
A2,2025-02,0.69
A2,2025-03,0.7943548387096774
A2,2025-04,0.5639880952380952
A2,2025-05,0.700268817204301
A2,2025-06,0.6680555555555556
A2,2025-07,0.6653225806451613
A2,2025-08,0.7244623655913978
A2,2025-09,0.763888888888889
A2,2025-10,0.7370689655172413
A2,2025-11,0.825
A2,2025-12,0.6972222222222223
A2,2026-01,0.5188172043010753
A2,2026-02,0.14880952380952378
A2,2026-03,0.15860215053763438
A2,2026-04,0.16666666666666666
A3,2024-04,0.7623456790123456
A3,2024-05,0.7305555555555556
A3,2024-06,0.7370689655172413
A3,2024-07,0.24731182795698922
A3,2024-08,0.28225806451612906
A3,2024-09,0.7861111111111111
A3,2024-10,0.8070987654320988
A3,2024-11,0.7791666666666667
A3,2024-12,0.8333333333333333
A3,2025-01,0.7442528735632183
A3,2025-02,0.7644230769230769
A3,2025-03,0.7540322580645161
A3,2025-04,0.825
A3,2025-05,0.7931034482758621
A3,2025-06,0.7652777777777777
A3,2025-07,0.7473118279569892
A3,2025-08,0.7163978494623655
A3,2025-09,0.8083333333333333
A3,2025-10,0.8239247311827957
A3,2025-11,0.8291666666666667
A3,2025-12,0.8375
A3,2026-01,0.6008064516129032
A3,2026-02,0.1577380952380952
A3,2026-03,0.16666666666666666
A3,2026-04,0.15
A4,2024-04,0.8012820512820512
A4,2024-05,0.7638888888888888
A4,2024-06,0.7986111111111112
A4,2024-07,0.22849462365591397
A4,2024-08,0.2728494623655914
A4,2024-09,0.8194444444444445
A4,2024-10,0.824712643678161
A4,2024-11,0.7543103448275862
A4,2024-12,0.8101851851851852
A4,2025-01,0.7791666666666667
A4,2025-02,0.6875
A4,2025-03,0.7620967741935484
A4,2025-04,0.7717391304347826
A4,2025-05,0.8293010752688171
A4,2025-06,0.8013888888888889
A4,2025-07,0.7741935483870968
A4,2025-08,0.7352150537634409
A4,2025-09,0.8055555555555556
A4,2025-10,0.7648809523809524
A4,2025-11,0.8708333333333333
A4,2025-12,0.7916666666666667
A4,2026-01,0.5053763440860215
A4,2026-02,0.15625
A4,2026-03,0.1532258064516129
A4,2026-04,0.16666666666666666
A5,2024-04,0.7546296296296297
A5,2024-05,0.6990740740740741
A5,2024-06,0.8189655172413793
A5,2024-07,0.23790322580645162
A5,2024-08,0.27553763440860213
A5,2024-09,0.8083333333333333
A5,2024-10,0.8069444444444444
A5,2024-11,0.7931034482758621
A5,2024-12,0.831989247311828
A5,2025-01,0.7736111111111111
A5,2025-02,0.6983333333333333
A5,2025-03,0.8091397849462365
A5,2025-04,0.7959770114942528
A5,2025-05,0.782258064516129
A5,2025-06,0.7875
A5,2025-07,0.8131720430107526
A5,2025-08,0.7526881720430108
A5,2025-09,0.8152777777777778
A5,2025-10,0.80316091954023
A5,2025-11,0.8402777777777778
A5,2025-12,0.8494623655913978
A5,2026-01,0.5120967741935484
A5,2026-02,0.15922619047619047
A5,2026-03,0.1639784946236559
A5,2026-04,0.14166666666666666
A6,2024-04,0.7275641025641026
A6,2024-05,0.7824074074074073
A6,2024-06,0.7341954022988506
A6,2024-07,0.24462365591397847
A6,2024-08,0.24596774193548387
A6,2024-09,0.8258928571428571
A6,2024-10,0.8
A6,2024-11,0.79320987654321
A6,2024-12,0.8148148148148148
A6,2025-01,0.7902777777777777
A6,2025-02,0.7419871794871795
A6,2025-03,0.7325268817204301
A6,2025-04,0.7833333333333333
A6,2025-05,0.8145161290322581
A6,2025-06,0.7777777777777778
A6,2025-07,0.7680555555555556
A6,2025-08,0.7956989247311829
A6,2025-09,0.8125
A6,2025-10,0.825
A6,2025-11,0.8125
A6,2025-12,0.8194444444444444
A6,2026-01,0.5403225806451613
A6,2026-02,0.15922619047619047
A6,2026-03,0.15860215053763438
A6,2026-04,0.16666666666666666
A7,2024-04,0.6753472222222222
A7,2024-05,0.7361111111111112
A7,2024-06,0.7959770114942528
A7,2024-07,0.21908602150537632
A7,2024-08,0.2849462365591398
A7,2024-09,0.8055555555555556
A7,2024-10,0.8682795698924731
A7,2024-11,0.7767857142857143
A7,2024-12,0.825
A7,2025-01,0.7456896551724138
A7,2025-02,0.7467948717948718
A7,2025-03,0.7594086021505376
A7,2025-04,0.6994047619047619
A7,2025-05,0.8454301075268816
A7,2025-06,0.7944444444444444
A7,2025-07,0.7701612903225806
A7,2025-08,0.8118279569892474
A7,2025-09,0.8013888888888889
A7,2025-10,0.8013888888888889
A7,2025-11,0.8569444444444444
A7,2025-12,0.7661290322580645
A7,2026-01,0.5483870967741935
A7,2026-02,0.15178571428571427
A7,2026-03,0.14919354838709678
A7,2026-04,0.16666666666666666
