term,coefficient,table
intercept,99.97611030367727,coefficients
device_A2,-13.471157641117316,coefficients
device_A3,10.403806280723405,coefficients
device_A4,-23.434081247061396,coefficients
device_A5,23.789467066983295,coefficients
device_A6,-52.91113583062442,coefficients
device_A7,4.038128050625693,coefficients
device_A8,27.747513413368964,coefficients
device_A9,-6.451743159459283,coefficients
device_A10,41.594620608742396,coefficients
trend_A1,-1.9678244040111117,coefficients
trend_A2,-8.73886933357092,coefficients
trend_A3,-10.838455664830322,coefficients
trend_A4,21.230204281335205,coefficients
trend_A5,-26.17864809292793,coefficients
trend_A6,31.064362460574667,coefficients
trend_A7,-10.423456136120276,coefficients
trend_A8,-27.94414301273688,coefficients
trend_A9,-6.019846100634041,coefficients
trend_A10,-43.13650610893617,coefficients
days_since_maintenance_30d,-3.8990451387310516,coefficients
days_since_maintenance_sq,-1.6102381858075017,coefficients
sin_1y,-9.633314658598374,coefficients
cos_1y,-11.646429414246246,coefficients
sin_2y,2.1109076554994024,coefficients
cos_2y,-1.8933045717038381,coefficients
1,-13.629987426504497,seasonal_curve
2,-13.714592371047072,seasonal_curve
3,-13.793591143896185,seasonal_curve
4,-13.867029560270508,seasonal_curve
5,-13.934956830837233,seasonal_curve
6,-13.997425463184225,seasonal_curve
7,-14.054491160344588,seasonal_curve
8,-14.106212716505464,seasonal_curve
9,-14.152651910035805,seasonal_curve
10,-14.193873393970765,seasonal_curve
11,-14.229944584093172,seasonal_curve
12,-14.260935544754972,seasonal_curve
13,-14.286918872583962,seasonal_curve
14,-14.307969578223343,seasonal_curve
15,-14.324164966253614,seasonal_curve
16,-14.335584513448227,seasonal_curve
17,-14.342309745515982,seasonal_curve
18,-14.344424112484766,seasonal_curve
19,-14.342012862882374,seasonal_curve
20,-14.335162916871392,seasonal_curve
21,-14.32396273849595,seasonal_curve
22,-14.30850220719893,seasonal_curve
23,-14.288872488768689,seasonal_curve
24,-14.26516590587483,seasonal_curve
25,-14.237475808352583,seasonal_curve
26,-14.205896443395336,seasonal_curve
27,-14.170522825814771,seasonal_curve
28,-14.131450608527464,seasonal_curve
29,-14.088775953426303,seasonal_curve
30,-14.04259540279429,seasonal_curve
31,-13.99300575141726,seasonal_curve
32,-13.940103919550932,seasonal_curve
33,-13.883986826896358,seasonal_curve
34,-13.824751267736183,seasonal_curve
35,-13.762493787382635,seasonal_curve
36,-13.697310560086049,seasonal_curve
37,-13.629297268550765,seasonal_curve
38,-13.558548985202991,seasonal_curve
39,-13.485160055352754,seasonal_curve
40,-13.409223982389532,seasonal_curve
41,-13.330833315148341,seasonal_curve
42,-13.25007953758021,seasonal_curve
43,-13.167052960857808,seasonal_curve
44,-13.0818426180439,seasonal_curve
45,-12.9945361614467,seasonal_curve
46,-12.905219762782963,seasonal_curve
47,-12.81397801626568,seasonal_curve
48,-12.720893844729684,seasonal_curve
49,-12.626048408904351,seasonal_curve
50,-12.529521019938628,seasonal_curve
51,-12.431389055279364,seasonal_curve
52,-12.331727877999628,seasonal_curve
53,-12.23061075966925,seasonal_curve
54,-12.12810880685534,seasonal_curve
55,-12.02429089133582,seasonal_curve
56,-11.919223584104355,seasonal_curve
57,-11.812971093240147,seasonal_curve
58,-11.705595205711269,seasonal_curve
59,-11.597155233175098,seasonal_curve
60,-11.487707961834388,seasonal_curve
61,-11.377307606402464,seasonal_curve
62,-11.266005768225675,seasonal_curve
63,-11.153851397606118,seasonal_curve
64,-11.040890760362323,seasonal_curve
65,-10.927167408660186,seasonal_curve
66,-10.812722156141085,seasonal_curve
67,-10.697593057368834,seasonal_curve
68,-10.581815391611421,seasonal_curve
69,-10.46542165096837,seasonal_curve
70,-10.34844153284879,seasonal_curve
71,-10.230901936799938,seasonal_curve
72,-10.112826965680608,seasonal_curve
73,-9.99423793116809,seasonal_curve
74,-9.875153363582223,seasonal_curve
75,-9.755589026004476,seasonal_curve
76,-9.635557932664671,seasonal_curve
77,-9.51507037156268,seasonal_curve
78,-9.394133931287026,seasonal_curve
79,-9.2727535319871,seasonal_curve
80,-9.150931460450558,seasonal_curve
81,-9.028667409232213,seasonal_curve
82,-8.905958519775812,seasonal_curve
83,-8.78279942946493,seasonal_curve
84,-8.659182322534411,seasonal_curve
85,-8.535096984768902,seasonal_curve
86,-8.4105308619103,seasonal_curve
87,-8.28546912169126,seasonal_curve
88,-8.159894719407397,seasonal_curve
89,-8.033788466936358,seasonal_curve
90,-7.907129105107611,seasonal_curve
91,-7.779893379322613,seasonal_curve
92,-7.652056118320937,seasonal_curve
93,-7.523590315983927,seasonal_curve
94,-7.3944672160637115,seasonal_curve
95,-7.26465639972165,seasonal_curve
96,-7.134125875756792,seasonal_curve
97,-7.002842173401485,seasonal_curve
98,-6.8707704375580905,seasonal_curve
99,-6.737874526347552,seasonal_curve
100,-6.604117110837806,seasonal_curve
101,-6.46945977681703,seasonal_curve
102,-6.333863128474325,seasonal_curve
103,-6.197286893847851,seasonal_curve
104,-6.059690031898176,seasonal_curve
105,-5.921030841062614,seasonal_curve
106,-5.781267069144203,seasonal_curve
107,-5.640356024387457,seasonal_curve
108,-5.498254687591296,seasonal_curve
109,-5.354919825108253,seasonal_curve
110,-5.210308102577818,seasonal_curve
111,-5.064376199240863,seasonal_curve
112,-4.917080922681091,seasonal_curve
113,-4.768379323839035,seasonal_curve
114,-4.618228812143484,seasonal_curve
115,-4.466587270605093,seasonal_curve
116,-4.313413170716808,seasonal_curve
117,-4.1586656870058185,seasonal_curve
118,-4.002304811082175,seasonal_curve
119,-3.84429146502959,seasonal_curve
120,-3.684587613984654,seasonal_curve
121,-3.523156377751679,seasonal_curve
122,-3.3599621413012537,seasonal_curve
123,-3.19497066400199,seasonal_curve
124,-3.0281491874363757,seasonal_curve
125,-2.8594665416531164,seasonal_curve
126,-2.688893249710339,seasonal_curve
127,-2.5164016303657775,seasonal_curve
128,-2.3419658987725347,seasonal_curve
129,-2.1655622650408803,seasonal_curve
130,-1.9871690305295173,seasonal_curve
131,-1.8067666817320749,seasonal_curve
132,-1.6243379816275407,seasonal_curve
133,-1.4398680583663355,seasonal_curve
134,-1.2533444911667901,seasonal_curve
135,-1.0647573933002867,seasonal_curve
136,-0.8740994920464757,seasonal_curve
137,-0.6813662055038776,seasonal_curve
138,-0.4865557161446663,seasonal_curve
139,-0.2896690410064746,seasonal_curve
140,-0.0907100984180218,seasonal_curve
141,0.11031422884056674,seasonal_curve
142,0.313394034037497,seasonal_curve
143,0.5185163307396188,seasonal_curve
144,0.7256650008992187,seasonal_curve
145,0.9348207468586303,seasonal_curve
146,1.145961047349358,seasonal_curve
147,1.3590601175575356,seasonal_curve
148,1.5740888733227312,seasonal_curve
149,1.7910148995320725,seasonal_curve
150,2.0098024227666063,seasonal_curve
151,2.230412288251788,seasonal_curve
152,2.452801941158673,seasonal_curve
153,2.676925412297221,seasonal_curve
154,2.902733308237738,seasonal_curve
155,3.1301728058912754,seasonal_curve
156,3.359187651574146,seasonal_curve
157,3.5897181645765883,seasonal_curve
158,3.821701245249942,seasonal_curve
159,4.0550703876212175,seasonal_curve
160,4.289755696538636,seasonal_curve
161,4.5256839093459105,seasonal_curve
162,4.762778422077792,seasonal_curve
163,5.000959320163701,seasonal_curve
164,5.24014341362097,seasonal_curve
165,5.480244276713459,seasonal_curve
166,5.721172292046143,seasonal_curve
167,5.96283469906057,seasonal_curve
168,6.205135646891044,seasonal_curve
169,6.447976251535526,seasonal_curve
170,6.691254657290511,seasonal_curve
171,6.934866102393445,seasonal_curve
172,7.178702988811333,seasonal_curve
173,7.422654956108907,seasonal_curve
174,7.666608959324854,seasonal_curve
175,7.910449350779406,seasonal_curve
176,8.154057965731973,seasonal_curve
177,8.397314211802492,seasonal_curve
178,8.640095162065686,seasonal_curve
179,8.882275651722619,seasonal_curve
180,9.123728378249707,seasonal_curve
181,9.364324004920707,seasonal_curve
182,9.603931267593236,seasonal_curve
183,9.842417084647046,seasonal_curve
184,10.07964666995746,seasonal_curve
185,10.315483648783312,seasonal_curve
186,10.549790176445295,seasonal_curve
187,10.782427059666732,seasonal_curve
188,11.013253880445683,seasonal_curve
189,11.242129122323785,seasonal_curve
190,11.468910298914151,seasonal_curve
191,11.693454084547884,seasonal_curve
192,11.915616446895651,seasonal_curve
193,12.135252781418398,seasonal_curve
194,12.35221804749872,seasonal_curve
195,12.566366906102155,seasonal_curve
196,12.777553858815413,seasonal_curve
197,12.985633388106915,seasonal_curve
198,13.19046009865291,seasonal_curve
199,13.391888859571193,seasonal_curve
200,13.589774947402821,seasonal_curve
201,13.783974189681155,seasonal_curve
202,13.974343108926474,seasonal_curve
203,14.16073906690367,seasonal_curve
204,14.343020408979777,seasonal_curve
205,14.52104660841782,seasonal_curve
206,14.694678410442979,seasonal_curve
207,14.863777975917262,seasonal_curve
208,15.028209024458814,seasonal_curve
209,15.187836976842448,seasonal_curve
210,15.342529096518398,seasonal_curve
211,15.492154630087143,seasonal_curve
212,15.6365849465688,seasonal_curve
213,15.775693675307018,seasonal_curve
214,15.909356842348249,seasonal_curve
215,16.037453005139003,seasonal_curve
216,16.159863385385094,seasonal_curve
217,16.27647199991899,seasonal_curve
218,16.387165789423104,seasonal_curve
219,16.49183474485936,seasonal_curve
220,16.59037203145742,seasonal_curve
221,16.682674110116785,seasonal_curve
222,16.768640856080523,seasonal_curve
223,16.84817567474128,seasonal_curve
224,16.921185614443417,seasonal_curve
225,16.98758147614803,seasonal_curve
226,17.047277919831405,seasonal_curve
227,17.10019356749048,seasonal_curve
228,17.14625110263298,seasonal_curve
229,17.185377366133487,seasonal_curve
230,17.217503448340665,seasonal_curve
231,17.24256477732505,seasonal_curve
232,17.260501203160935,seasonal_curve
233,17.27125707814028,seasonal_curve
234,17.274781332821078,seasonal_curve
235,17.271027547817095,seasonal_curve
236,17.259954021240663,seasonal_curve
237,17.241523831715085,seasonal_curve
238,17.215704896877906,seasonal_curve
239,17.182470027301534,seasonal_curve
240,17.14179697576261,seasonal_curve
241,17.093668481796772,seasonal_curve
242,17.03807231148071,seasonal_curve
243,16.975001292388647,seasonal_curve
244,16.904453343675858,seasonal_curve
245,16.82643150124725,seasonal_curve
246,16.740943937974393,seasonal_curve
247,16.648003978930188,seasonal_curve
248,16.547630111615597,seasonal_curve
249,16.43984599115874,seasonal_curve
250,16.32468044047224,seasonal_curve
251,16.202167445360118,seasonal_curve
252,16.072346144571604,seasonal_curve
253,15.935260814804463,seasonal_curve
254,15.790960850666515,seasonal_curve
255,15.639500739609339,seasonal_curve
256,15.480940031853994,seasonal_curve
257,15.315343305334212,seasonal_curve
258,15.142780125688018,seasonal_curve
259,14.963325001334326,seasonal_curve
260,14.777057333676753,seasonal_curve
261,14.584061362481997,seasonal_curve
262,14.384426106486039,seasonal_curve
263,14.178245299286322,seasonal_curve
264,13.965617320583704,seasonal_curve
265,13.746645122843042,seasonal_curve
266,13.521436153446421,seasonal_curve
267,13.290102272418265,seasonal_curve
268,13.052759665806258,seasonal_curve
269,12.809528754807115,seasonal_curve
270,12.560534100731118,seasonal_curve
271,12.305904305903464,seasonal_curve
272,12.045771910605911,seasonal_curve
273,11.780273286165675,seasonal_curve
274,11.509548524303685,seasonal_curve
275,11.233741322857961,seasonal_curve
276,10.952998868002112,seasonal_curve
277,10.667471713083078,seasonal_curve
278,10.377313654205565,seasonal_curve
279,10.082681602694612,seasonal_curve
280,9.783735454571298,seasonal_curve
281,9.480637957179361,seasonal_curve
282,9.173554573104482,seasonal_curve
283,8.862653341530205,seasonal_curve
284,8.548104737177882,seasonal_curve
285,8.230081526980406,seasonal_curve
286,7.90875862464204,seasonal_curve
287,7.584312943239192,seasonal_curve
288,7.256923246018609,seasonal_curve
289,6.92676999555219,seasonal_curve
290,6.594035201408648,seasonal_curve
291,6.258902266504254,seasonal_curve
292,5.9215558322964865,seasonal_curve
293,5.582181622985013,seasonal_curve
294,5.240966288886014,seasonal_curve
295,4.898097249146781,seasonal_curve
296,4.553762533967236,seasonal_curve
297,4.208150626497053,seasonal_curve
298,3.8614503045756203,seasonal_curve
299,3.5138504824835906,seasonal_curve
300,3.1655400528736286,seasonal_curve
301,2.8167077290481686,seasonal_curve
302,2.467541887751583,seasonal_curve
303,2.118230412642907,seasonal_curve
304,1.7689605386148841,seasonal_curve
305,1.4199186971240279,seasonal_curve
306,1.0712903626946284,seasonal_curve
307,0.7232599007587437,seasonal_curve
308,0.37601041699217586,seasonal_curve
309,0.029723608305018523,seasonal_curve
310,-0.3154203843572203,seasonal_curve
311,-0.659243121247636,seasonal_curve
312,-1.0015680069351207,seasonal_curve
313,-1.3422204311558268,seasonal_curve
314,-1.6810279072521954,seasonal_curve
315,-2.0178202080557206,seasonal_curve
316,-2.352429499073178,seasonal_curve
317,-2.68469046883859,seasonal_curve
318,-3.0144404562970637,seasonal_curve
319,-3.3415195750896673,seasonal_curve
320,-3.665770834612786,seasonal_curve
321,-3.987040257728639,seasonal_curve
322,-4.305176995007676,seasonal_curve
323,-4.620033435388143,seasonal_curve
324,-4.9314653131414765,seasonal_curve
325,-5.239331811037314,seasonal_curve
326,-5.54349565960592,seasonal_curve
327,-5.843823232400323,seasonal_curve
328,-6.140184637165554,seasonal_curve
329,-6.432453802826833,seasonal_curve
330,-6.72050856221319,seasonal_curve
331,-7.004230730439042,seasonal_curve
332,-7.283506178869426,seasonal_curve
333,-7.558224904602049,seasonal_curve
334,-7.82828109540247,seasonal_curve
335,-8.09357319003516,seasonal_curve
336,-8.35400393393842,seasonal_curve
337,-8.6094804301959,seasonal_curve
338,-8.859914185764001,seasonal_curve
339,-9.105221152918618,seasonal_curve
340,-9.345321765891478,seasonal_curve
341,-9.580140972670865,seasonal_curve
342,-9.80960826194794,seasonal_curve
343,-10.033657685194694,seasonal_curve
344,-10.252227873865849,seasonal_curve
345,-10.465262051722327,seasonal_curve
346,-10.67270804227928,seasonal_curve
347,-10.874518271387965,seasonal_curve
348,-11.070649764965497,seasonal_curve
349,-11.261064141892906,seasonal_curve
350,-11.445727602106649,seasonal_curve
351,-11.624610909915047,seasonal_curve
352,-11.79768937257574,seasonal_curve
353,-11.964942814176563,seasonal_curve
354,-12.126355544866675,seasonal_curve
355,-12.281916325490869,seasonal_curve
356,-12.431618327684745,seasonal_curve
357,-12.575459089493627,seasonal_curve
358,-12.7134404665836,seasonal_curve
359,-12.845568579117213,seasonal_curve
360,-12.971853754372344,seasonal_curve
361,-13.092310465186513,seasonal_curve
362,-13.206957264314442,seasonal_curve
363,-13.315816714790644,seasonal_curve
364,-13.418915316393758,seasonal_curve
365,-13.516283428313491,seasonal_curve
