device,alpha_per_day,beta_per_day,seasonal_sin_1y,seasonal_cos_1y,seasonal_sin_2y,seasonal_cos_2y,medium_recovery,major_recovery,medium_damage,major_damage,sigma,recent_level,days_since_maintenance,last_maintenance_type,mediums_since_major,historical_irreversible_decline_per_year,damage_share_assumption,medium_interval_mean,medium_interval_std,major_interval_mean,major_interval_std,medium_between_major_mean
A1,0.03154765371209858,0.35798322971899466,-9.633314658598374,-11.646429414246246,2.1109076554994024,-1.893304571703838,23.665225194498102,12.070952498129108,0.36329094977838516,1.0898728493351555,9.78811659371802,98.17766277520336,34.0,中维护,2,14.403475647930009,0.2,59.55555555555556,11.181582078479671,61.0,1.4142135623730951,4.0
A2,0.03154765371209858,0.33007596051381183,-9.633314658598374,-11.646429414246246,2.1109076554994024,-1.893304571703838,18.20321217636489,19.14304363692554,0.32292528869189796,0.9687758660756939,6.796006890133381,47.0300640586585,29.0,中维护,1,14.403475647930009,0.2,56.75,13.002746962524057,64.0,13.527749258468683,8.0
A3,0.019074943905839876,0.32021183289127886,-9.633314658598374,-11.646429414246246,2.1109076554994024,-1.893304571703838,22.915375904373807,15.504879809925026,0.20673873027358808,0.6202161908207642,6.844348412988319,72.20872512378821,5.0,中维护,3,8.708904077010018,0.2,55.6,13.688600285557973,60.0,4.242640687119285,4.0
A4,0.03154765371209858,0.29996451660457946,-9.633314658598374,-11.646429414246246,2.1109076554994024,-1.893304571703838,24.818718247849457,16.687037371599565,0.4471273228041664,1.3413819684124992,11.827469878565072,111.82004598611024,29.0,中维护,1,14.403475647930009,0.2,54.416666666666664,9.976867183032896,60.0,10.0,4.0
A5,0.054664566779634896,0.3181704589997818,-9.633314658598374,-11.646429414246246,2.1109076554994024,-1.893304571703838,18.553779955331773,6.177614686726126,0.6714630952765153,2.014389285829546,11.218161041018446,52.1930073759016,7.0,中维护,10,24.957791270327057,0.2,56.27272727272727,13.100312279414632,65.0,10.0,2.0
A6,0.03154765371209858,0.35598569435387084,-9.633314658598374,-11.646429414246246,2.1109076554994024,-1.893304571703838,26.764043057749035,25.082466191839597,0.36329094977838516,1.0898728493351555,7.991952037751605,82.22417113597635,16.0,中维护,7,14.403475647930009,0.2,59.55555555555556,15.500896031448562,60.5,14.849242404917497,2.0
A7,0.025702039982423052,0.30253154845525515,-9.633314658598374,-11.646429414246246,2.1109076554994024,-1.893304571703838,18.18777242924329,24.97126665529887,0.27818678569210825,0.8345603570763247,9.847381372207362,63.66040553997662,16.0,中维护,1,11.734587629475024,0.2,57.7,14.667045449654207,49.5,2.1213203435596424,5.0
A8,0.06064505507870552,0.31876786500108756,-9.633314658598374,-11.646429414246246,2.1109076554994024,-1.893304571703838,16.227940479260234,16.687037371599565,0.8583607795755241,2.575082338726572,6.358591463823887,49.106478593970905,10.0,中维护,1,27.688257959371487,0.2,55.583333333333336,12.369010641212345,60.0,10.0,4.0
A9,0.010158244425867258,0.32073617550614975,-9.633314658598374,-11.646429414246246,2.1109076554994024,-1.893304571703838,19.2475167325403,17.86919493327411,0.10994805731526913,0.3298441719458074,6.159963754600238,71.87374841193083,9.0,大维护,0,4.63787347068502,0.2,57.7,9.626929820964614,47.0,14.142135623730951,6.0
A10,0.09293284075687484,0.30030704703083105,-9.633314658598374,-11.646429414246246,2.1109076554994024,-1.893304571703838,20.418407429901208,14.118331402933526,0.901203995234431,2.7036119857032928,6.677354075993973,50.116700615197125,16.0,中维护,2,42.42965010806067,0.2,55.77777777777778,14.27215626471503,56.0,8.660254037844387,3.0
