device,strategy,candidate_id,family,label,medium_gap,major_gap,medium_between_major,medium_trigger,major_trigger,fouling_trigger,reserve_threshold,min_gap,max_gap
A1,优化固定周期,F03,固定周期,每45日维护，6次中维护后大维护,45.0,45.0,6,,,,,21,150
A1,透水率触发,T17,透水率触发,7日均值≤55/42触发中/大维护，冷却21日，上限150日,,,4,55.0,42.0,,,21,150
A1,状态触发,S32,状态触发,堵塞损失≥20触发，维护后储备阈值50，冷却21日,,,4,,,20.0,50.0,21,150
A2,优化固定周期,F03,固定周期,每45日维护，6次中维护后大维护,45.0,45.0,6,,,,,21,150
A2,透水率触发,T18,透水率触发,7日均值≤55/42触发中/大维护，冷却35日，上限90日,,,4,55.0,42.0,,,35,90
A2,状态触发,S29,状态触发,堵塞损失≥10触发，维护后储备阈值50，冷却35日,,,4,,,10.0,50.0,35,150
A3,优化固定周期,F03,固定周期,每45日维护，6次中维护后大维护,45.0,45.0,6,,,,,21,150
A3,透水率触发,T19,透水率触发,7日均值≤55/42触发中/大维护，冷却35日，上限150日,,,4,55.0,42.0,,,35,150
A3,状态触发,S32,状态触发,堵塞损失≥20触发，维护后储备阈值50，冷却21日,,,4,,,20.0,50.0,21,150
A4,优化固定周期,F06,固定周期,每60日维护，6次中维护后大维护,60.0,60.0,6,,,,,21,150
A4,透水率触发,T19,透水率触发,7日均值≤55/42触发中/大维护，冷却35日，上限150日,,,4,55.0,42.0,,,35,150
A4,状态触发,S32,状态触发,堵塞损失≥20触发，维护后储备阈值50，冷却21日,,,4,,,20.0,50.0,21,150
A5,优化固定周期,F03,固定周期,每45日维护，6次中维护后大维护,45.0,45.0,6,,,,,21,150
A5,透水率触发,T19,透水率触发,7日均值≤55/42触发中/大维护，冷却35日，上限150日,,,4,55.0,42.0,,,35,150
A5,状态触发,S32,状态触发,堵塞损失≥20触发，维护后储备阈值50，冷却21日,,,4,,,20.0,50.0,21,150
A6,优化固定周期,F06,固定周期,每60日维护，6次中维护后大维护,60.0,60.0,6,,,,,21,150
A6,透水率触发,T19,透水率触发,7日均值≤55/42触发中/大维护，冷却35日，上限150日,,,4,55.0,42.0,,,35,150
A6,状态触发,S32,状态触发,堵塞损失≥20触发，维护后储备阈值50，冷却21日,,,4,,,20.0,50.0,21,150
A7,优化固定周期,F03,固定周期,每45日维护，6次中维护后大维护,45.0,45.0,6,,,,,21,150
A7,透水率触发,T19,透水率触发,7日均值≤55/42触发中/大维护，冷却35日，上限150日,,,4,55.0,42.0,,,35,150
A7,状态触发,S29,状态触发,堵塞损失≥10触发，维护后储备阈值50，冷却35日,,,4,,,10.0,50.0,35,150
A8,优化固定周期,F03,固定周期,每45日维护，6次中维护后大维护,45.0,45.0,6,,,,,21,150
A8,透水率触发,T18,透水率触发,7日均值≤55/42触发中/大维护，冷却35日，上限90日,,,4,55.0,42.0,,,35,90
A8,状态触发,S29,状态触发,堵塞损失≥10触发，维护后储备阈值50，冷却35日,,,4,,,10.0,50.0,35,150
A9,优化固定周期,F03,固定周期,每45日维护，6次中维护后大维护,45.0,45.0,6,,,,,21,150
A9,透水率触发,T19,透水率触发,7日均值≤55/42触发中/大维护，冷却35日，上限150日,,,4,55.0,42.0,,,35,150
A9,状态触发,S33,状态触发,堵塞损失≥20触发，维护后储备阈值50，冷却35日,,,4,,,20.0,50.0,35,150
A10,优化固定周期,F03,固定周期,每45日维护，6次中维护后大维护,45.0,45.0,6,,,,,21,150
A10,透水率触发,T18,透水率触发,7日均值≤55/42触发中/大维护，冷却35日，上限90日,,,4,55.0,42.0,,,35,90
A10,状态触发,S29,状态触发,堵塞损失≥10触发，维护后储备阈值50，冷却35日,,,4,,,10.0,50.0,35,150
A1,推荐混合方案,S32,状态触发,堵塞损失≥20触发，维护后储备阈值50，冷却21日,,,4,,,20.0,50.0,21,150
A2,推荐混合方案,S29,状态触发,堵塞损失≥10触发，维护后储备阈值50，冷却35日,,,4,,,10.0,50.0,35,150
A3,推荐混合方案,S32,状态触发,堵塞损失≥20触发，维护后储备阈值50，冷却21日,,,4,,,20.0,50.0,21,150
A4,推荐混合方案,S32,状态触发,堵塞损失≥20触发，维护后储备阈值50，冷却21日,,,4,,,20.0,50.0,21,150
A5,推荐混合方案,S32,状态触发,堵塞损失≥20触发，维护后储备阈值50，冷却21日,,,4,,,20.0,50.0,21,150
A6,推荐混合方案,S32,状态触发,堵塞损失≥20触发，维护后储备阈值50，冷却21日,,,4,,,20.0,50.0,21,150
A7,推荐混合方案,S29,状态触发,堵塞损失≥10触发，维护后储备阈值50，冷却35日,,,4,,,10.0,50.0,35,150
A8,推荐混合方案,S29,状态触发,堵塞损失≥10触发，维护后储备阈值50，冷却35日,,,4,,,10.0,50.0,35,150
A9,推荐混合方案,S33,状态触发,堵塞损失≥20触发，维护后储备阈值50，冷却35日,,,4,,,20.0,50.0,35,150
A10,推荐混合方案,S29,状态触发,堵塞损失≥10触发，维护后储备阈值50，冷却35日,,,4,,,10.0,50.0,35,150
