device,strategy,candidate_id,family,policy_label,n_runs,renewal_annual_cost,median_annual_cost,p90_annual_cost,median_lifetime_days,p10_lifetime_days,p90_lifetime_days,right_censored_share,eol_within_2y_probability,medium_maintenances_per_year,major_maintenances_per_year,mean_simulated_permeability,mean_annual_below_threshold_days,label,medium_gap,major_gap,medium_between_major,medium_trigger,major_trigger,fouling_trigger,reserve_threshold,min_gap,max_gap
A1,当前固定方案,BASELINE,当前固定方案,按历史固定维护规律继续,300,120.24747858629468,122.21347309065831,215.17823897919916,1186.0,590.7,1852.3000000000002,0.0,0.24666666666666667,4.87402467102081,1.230620562132222,60.45969889854229,10.236666666666666,,,,,,,,,,
A1,优化固定周期,F03,固定周期,每45日维护，6次中维护后大维护,300,101.21316038853351,101.66406489499222,124.53740801308258,1630.0,1223.0,2110.4,0.0,0.02,7.0268119111402685,1.1308278509771046,64.72803967755985,14.0,每45日维护，6次中维护后大维护,45.0,45.0,6.0,,,,,21.0,150.0
A1,透水率触发,T17,透水率触发,7日均值≤55/42触发中/大维护，冷却21日，上限150日,300,120.29301234872521,122.61702486354599,148.18197309838843,1677.0,1309.0,2170.5,0.0,0.0,7.07324320781559,2.975465438605284,59.18236436065509,2.433333333333333,7日均值≤55/42触发中/大维护，冷却21日，上限150日,,,4.0,55.0,42.0,,,21.0,150.0
A1,状态触发,S32,状态触发,堵塞损失≥20触发，维护后储备阈值50，冷却21日,300,80.14900078459071,81.46841947518377,98.82578335463575,1779.0,1412.6,2363.3,0.0,0.0,6.74540714068567,0.0059840970198295745,64.61246234644778,14.223333333333333,堵塞损失≥20触发，维护后储备阈值50，冷却21日,,,4.0,,,20.0,50.0,21.0,150.0
A2,当前固定方案,BASELINE,当前固定方案,按历史固定维护规律继续,300,264.5300012501287,240.95358353339924,456.19960645161296,508.0,249.8,664.7000000000002,0.0,0.9566666666666667,5.8472875884282205,0.4378079361110703,38.15678927150058,15.25,,,,,,,,,,
A2,优化固定周期,F03,固定周期,每45日维护，6次中维护后大维护,300,213.80210155942436,208.3835182250396,355.66618075801773,631.0,342.0,763.3000000000001,0.0,0.8333333333333334,7.103769793534841,1.0624699269498272,42.06957555897642,12.716666666666667,每45日维护，6次中维护后大维护,45.0,45.0,6.0,,,,,21.0,150.0
A2,透水率触发,T18,透水率触发,7日均值≤55/42触发中/大维护，冷却35日，上限90日,300,266.20896082453595,266.6625440658049,309.44901883739743,594.0,502.9,714.3000000000001,0.0,0.9233333333333333,3.845741398575741,5.993996097463351,43.464071587414914,4.8533333333333335,7日均值≤55/42触发中/大维护，冷却35日，上限90日,,,4.0,55.0,42.0,,,35.0,90.0
A2,状态触发,S29,状态触发,堵塞损失≥10触发，维护后储备阈值50，冷却35日,300,190.86628649679187,192.8909023668639,232.53605587234247,676.0,542.0,898.0,0.0,0.6933333333333334,10.021036765346315,0.1449250466946028,43.995418034401,12.16,堵塞损失≥10触发，维护后储备阈值50，冷却35日,,,4.0,,,10.0,50.0,35.0,150.0
A3,当前固定方案,BASELINE,当前固定方案,按历史固定维护规律继续,300,92.9621607304111,91.98220568959766,153.73919761693259,1792.0,883.3000000000001,2393.6000000000004,0.0,0.07333333333333333,5.050031011931581,1.3200040155267032,55.14237608334628,31.45,,,,,,,,,,
A3,优化固定周期,F03,固定周期,每45日维护，6次中维护后大维护,300,87.76360102995645,88.2702635504724,101.34652674635372,2012.0,1632.6,2571.2,0.0,0.0,6.894274725453245,1.1398486743778022,57.4959426043397,28.356666666666666,每45日维护，6次中维护后大维护,45.0,45.0,6.0,,,,,21.0,150.0
