scenario_id,scenario_type,purchase_factor,medium_factor,major_factor,purchase_cost,medium_cost,major_cost
purchase_0.50,购置价单因素,0.5,1.0,1.0,150.0,3.0,12.0
medium_0.50,中维护价单因素,1.0,0.5,1.0,300.0,1.5,12.0
major_0.50,大维护价单因素,1.0,1.0,0.5,300.0,3.0,6.0
purchase_0.55,购置价单因素,0.55,1.0,1.0,165.0,3.0,12.0
medium_0.55,中维护价单因素,1.0,0.55,1.0,300.0,1.6500000000000001,12.0
major_0.55,大维护价单因素,1.0,1.0,0.55,300.0,3.0,6.6000000000000005
purchase_0.60,购置价单因素,0.6,1.0,1.0,180.0,3.0,12.0
medium_0.60,中维护价单因素,1.0,0.6,1.0,300.0,1.7999999999999998,12.0
major_0.60,大维护价单因素,1.0,1.0,0.6,300.0,3.0,7.199999999999999
purchase_0.65,购置价单因素,0.65,1.0,1.0,195.0,3.0,12.0
medium_0.65,中维护价单因素,1.0,0.65,1.0,300.0,1.9500000000000002,12.0
major_0.65,大维护价单因素,1.0,1.0,0.65,300.0,3.0,7.800000000000001
purchase_0.70,购置价单因素,0.7,1.0,1.0,210.0,3.0,12.0
medium_0.70,中维护价单因素,1.0,0.7,1.0,300.0,2.0999999999999996,12.0
major_0.70,大维护价单因素,1.0,1.0,0.7,300.0,3.0,8.399999999999999
purchase_0.75,购置价单因素,0.75,1.0,1.0,225.0,3.0,12.0
medium_0.75,中维护价单因素,1.0,0.75,1.0,300.0,2.25,12.0
major_0.75,大维护价单因素,1.0,1.0,0.75,300.0,3.0,9.0
purchase_0.80,购置价单因素,0.8,1.0,1.0,240.0,3.0,12.0
medium_0.80,中维护价单因素,1.0,0.8,1.0,300.0,2.4000000000000004,12.0
major_0.80,大维护价单因素,1.0,1.0,0.8,300.0,3.0,9.600000000000001
purchase_0.85,购置价单因素,0.85,1.0,1.0,255.0,3.0,12.0
medium_0.85,中维护价单因素,1.0,0.85,1.0,300.0,2.55,12.0
major_0.85,大维护价单因素,1.0,1.0,0.85,300.0,3.0,10.2
purchase_0.90,购置价单因素,0.9,1.0,1.0,270.0,3.0,12.0
medium_0.90,中维护价单因素,1.0,0.9,1.0,300.0,2.7,12.0
major_0.90,大维护价单因素,1.0,1.0,0.9,300.0,3.0,10.8
purchase_0.95,购置价单因素,0.95,1.0,1.0,285.0,3.0,12.0
medium_0.95,中维护价单因素,1.0,0.95,1.0,300.0,2.8499999999999996,12.0
major_0.95,大维护价单因素,1.0,1.0,0.95,300.0,3.0,11.399999999999999
purchase_1.00,购置价单因素,1.0,1.0,1.0,300.0,3.0,12.0
medium_1.00,中维护价单因素,1.0,1.0,1.0,300.0,3.0,12.0
major_1.00,大维护价单因素,1.0,1.0,1.0,300.0,3.0,12.0
purchase_1.05,购置价单因素,1.05,1.0,1.0,315.0,3.0,12.0
medium_1.05,中维护价单因素,1.0,1.05,1.0,300.0,3.1500000000000004,12.0
major_1.05,大维护价单因素,1.0,1.0,1.05,300.0,3.0,12.600000000000001
purchase_1.10,购置价单因素,1.1,1.0,1.0,330.0,3.0,12.0
medium_1.10,中维护价单因素,1.0,1.1,1.0,300.0,3.3000000000000003,12.0
major_1.10,大维护价单因素,1.0,1.0,1.1,300.0,3.0,13.200000000000001
purchase_1.15,购置价单因素,1.15,1.0,1.0,345.0,3.0,12.0
medium_1.15,中维护价单因素,1.0,1.15,1.0,300.0,3.4499999999999997,12.0
major_1.15,大维护价单因素,1.0,1.0,1.15,300.0,3.0,13.799999999999999
purchase_1.20,购置价单因素,1.2,1.0,1.0,360.0,3.0,12.0
medium_1.20,中维护价单因素,1.0,1.2,1.0,300.0,3.5999999999999996,12.0
major_1.20,大维护价单因素,1.0,1.0,1.2,300.0,3.0,14.399999999999999
purchase_1.25,购置价单因素,1.25,1.0,1.0,375.0,3.0,12.0
medium_1.25,中维护价单因素,1.0,1.25,1.0,300.0,3.75,12.0
major_1.25,大维护价单因素,1.0,1.0,1.25,300.0,3.0,15.0
purchase_1.30,购置价单因素,1.3,1.0,1.0,390.0,3.0,12.0
medium_1.30,中维护价单因素,1.0,1.3,1.0,300.0,3.9000000000000004,12.0
major_1.30,大维护价单因素,1.0,1.0,1.3,300.0,3.0,15.600000000000001
purchase_1.35,购置价单因素,1.35,1.0,1.0,405.0,3.0,12.0
medium_1.35,中维护价单因素,1.0,1.35,1.0,300.0,4.050000000000001,12.0
major_1.35,大维护价单因素,1.0,1.0,1.35,300.0,3.0,16.200000000000003
purchase_1.40,购置价单因素,1.4,1.0,1.0,420.0,3.0,12.0
medium_1.40,中维护价单因素,1.0,1.4,1.0,300.0,4.199999999999999,12.0
major_1.40,大维护价单因素,1.0,1.0,1.4,300.0,3.0,16.799999999999997
purchase_1.45,购置价单因素,1.45,1.0,1.0,435.0,3.0,12.0
medium_1.45,中维护价单因素,1.0,1.45,1.0,300.0,4.35,12.0
major_1.45,大维护价单因素,1.0,1.0,1.45,300.0,3.0,17.4
purchase_1.50,购置价单因素,1.5,1.0,1.0,450.0,3.0,12.0
medium_1.50,中维护价单因素,1.0,1.5,1.0,300.0,4.5,12.0
