device,strategy,candidate_id,family,policy_label,n_runs,renewal_annual_cost,median_annual_cost,p90_annual_cost,median_lifetime_days,p10_lifetime_days,p90_lifetime_days,right_censored_share,eol_within_2y_probability,medium_maintenances_per_year,major_maintenances_per_year,mean_simulated_permeability,mean_annual_below_threshold_days,label,medium_gap,major_gap,medium_between_major,medium_trigger,major_trigger,fouling_trigger,reserve_threshold,min_gap,max_gap
A1,第四问候选复核,S32,状态触发,堵塞损失≥20触发，维护后储备阈值50，冷却21日,200,80.39581675268094,81.46841947518377,99.71220457436586,1785.0,1359.9,2363.3,0.0,0.0,6.783812223598816,0.00899047415879684,64.61562876044329,11.86,堵塞损失≥20触发，维护后储备阈值50，冷却21日,,,4,,,20.0,50.0,21,150
A1,第四问候选复核,S33,状态触发,堵塞损失≥20触发，维护后储备阈值50，冷却35日,200,80.43035503638768,81.46841947518377,99.71220457436586,1785.0,1358.2,2363.3,0.0,0.0,6.780753672294736,0.00899701946788333,64.61290143545267,12.045,堵塞损失≥20触发，维护后储备阈值50，冷却35日,,,4,,,20.0,50.0,35,150
A1,第四问候选复核,S34,状态触发,堵塞损失≥20触发，维护后储备阈值60，冷却21日,200,80.41467742244272,81.46841947518377,99.71220457436586,1785.0,1359.9,2363.3,0.0,0.0,6.781888533037226,0.01098847751707313,64.61604603554089,11.86,堵塞损失≥20触发，维护后储备阈值60，冷却21日,,,4,,,20.0,60.0,21,150
A1,第四问候选复核,S36,状态触发,堵塞损失≥30触发，维护后储备阈值50，冷却21日,200,82.62809008447853,84.34475584474842,102.47301152299924,1637.0,1281.7,2067.2999999999997,0.0,0.0,5.6319187197355145,0.00875031069292758,60.86405977470089,16.9,堵塞损失≥30触发，维护后储备阈值50，冷却21日,,,4,,,30.0,50.0,21,150
A1,第四问候选复核,S37,状态触发,堵塞损失≥30触发，维护后储备阈值50，冷却35日,200,82.66255068190196,84.34475584474842,102.47301152299924,1637.0,1281.7,2067.2999999999997,0.0,0.0,5.628172394882814,0.00875639423552363,60.865526854939745,16.835,堵塞损失≥30触发，维护后储备阈值50，冷却35日,,,4,,,30.0,50.0,35,150
A1,第四问候选复核,S38,状态触发,堵塞损失≥30触发，维护后储备阈值60，冷却21日,200,82.6548996532332,84.34475584474842,102.47301152299924,1637.0,1281.7,2067.2999999999997,0.0,0.0,5.628451946745243,0.01203128088111109,60.8585512536046,17.175,堵塞损失≥30触发，维护后储备阈值60，冷却21日,,,4,,,30.0,60.0,21,150
A2,第四问候选复核,S28,状态触发,堵塞损失≥10触发，维护后储备阈值50，冷却21日,200,191.54640699432758,195.44078947368422,235.03213884571025,692.0,562.7,897.1,0.0,0.635,11.987694967236276,0.0,44.571222340927704,11.72,堵塞损失≥10触发，维护后储备阈值50，冷却21日,,,4,,,10.0,50.0,21,150
A2,第四问候选复核,S29,状态触发,堵塞损失≥10触发，维护后储备阈值50，冷却35日,200,189.6705675391766,192.04032593913286,232.53605587234244,681.0,542.0,900.1,0.0,0.66,9.98100168362281,0.1708175643590002,44.01436683148441,13.235,堵塞损失≥10触发，维护后储备阈值50，冷却35日,,,4,,,10.0,50.0,35,150
A2,第四问候选复核,S30,状态触发,堵塞损失≥10触发，维护后储备阈值60，冷却21日,200,192.06724829208991,195.9170519203414,235.03213884571025,692.0,559.7,897.1,0.0,0.645,11.92582054326113,0.041544334572649264,44.56480764571448,11.815,堵塞损失≥10触发，维护后储备阈值60，冷却21日,,,4,,,10.0,60.0,21,150
A2,第四问候选复核,S31,状态触发,堵塞损失≥10触发，维护后储备阈值60，冷却35日,200,190.82634742399472,192.6960362501527,235.2723792924475,677.0,542.0,900.1,0.0,0.665,9.857401378575185,0.2841204560678196,44.11088296267258,12.85,堵塞损失≥10触发，维护后储备阈值60，冷却35日,,,4,,,10.0,60.0,35,150
